	RI	ARI	MI	AMI	VI	NVI	ID	NID	NMI	Chi2	MARI	MARIraw	F.score	AUC	ACC	Purity
raw	0.849419020293948	0.455559112074186	1.30726856507891	0.560885200635377	1.5772100278328	0.546792072476675	1.02345537557423	0.439114799364623	0.560885200635377	34049.0251958876	0.455521914748906	0.0629896207565767	0.542094372578661	0.700162944161205	0.849441468263493	0.6067382230172927
SCDD	0.864565443467736	0.506756670765512	1.27837462054208	0.548488217864119	1.69203654775295	0.569630415416244	1.05234932011106	0.451511782135881	0.548488217864119	31104.8651003472	0.506720933873236	0.0695625759102258	0.584716798272697	0.723369981887537	0.864585633473182	0.6167262969588551
SCDD(Diffusion)	0.856262812133284	0.448133738923048	1.3560814457186	0.581828427668093	1.63388855457243	0.546456504384123	0.974642494934543	0.418171572331907	0.581828427668093	37899.139430085	0.44811648610829	0.05835561484317	0.53165391201419	0.703280113834719	0.856284239859561	0.6437090041741205
magic	0.849783007793902	0.244467829399438	0.980897561141472	0.38717373394424	2.90241049634668	0.74740670927458	1.55258411683501	0.61282626605576	0.38717373394424	21869.9109244543	0.244469881488695	0.0243031544226013	0.3264351787347	0.648734651071021	0.849805401501745	0.5459153249850924
saver	0.837203878965177	0.392695011158246	1.18730867488947	0.509416260836428	1.89107816556099	0.614308163195068	1.14341526576367	0.490583739163572	0.509416260836428	30672.1684849616	0.392674940658491	0.0526291120245339	0.486863119463713	0.675272438075968	0.837228147915838	0.5983899821109123
dca	0.845160170947876	0.267578054584784	0.964342115534954	0.413752181764055	2.6991703456306	0.736771165443737	1.36638182511819	0.586247818235945	0.413752181764055	20076.3136886858	0.267581410799459	0.0282845496527737	0.355228427692655	0.648162458326178	0.845183253808498	0.5359272510435301
